position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,597577.406239958,okx,ethereum,ETH/USDT,usd,2023-04-09 09:00:00,322.34157959930997,1852.01,0.001,597.577406239958,596979.8288337181,2023-04-11 17:00:00,1915.51,True,617.4485191382743,616831.070619136,19851.241785417893
short,596979.8288337181,okx,ethereum,ETHUSDT,usd,2023-04-09 09:00:00,322.1369240383646,1852.26,0.0005,298.48991441685905,596681.3389193013,2023-04-11 17:00:00,1916.0,True,308.6071732287533,616905.7392842779,-20224.40036497661
long,298813.78621167765,okx,bitcoin,BTC/USDT,coin,2023-04-10 17:00:00,10.54648070551767,28304.7,0.001,298.81378621167767,298514.972425466,2023-04-11 01:00:00,29170.7,True,307.6482247164443,307340.5764917279,8825.604066261905
short,298514.972425466,okx,bitcoin,BTCUSDCM,coin,2023-04-10 17:00:00,10.535996177058031,28318.7,0.0005,149.257486212733,298365.7149392533,2023-04-11 01:00:00,29196.3,True,153.8060525921197,307458.2991316473,-9092.584192393988
long,298714.98893640126,okx,bitcoin,BTC/USDT,coin,2023-04-11 17:00:00,9.928741672072109,30055.8,0.001,298.71498893640126,298416.2739474649,2023-04-12 01:00:00,30127.4,True,299.12717185118527,298828.0446793341,411.7707318692119
short,298416.2739474649,okx,bitcoin,BTCUSDCM,coin,2023-04-11 17:00:00,9.917573826767144,30074.6,0.0005,149.20813697373245,298267.06581049116,2023-04-12 01:00:00,30158.2,True,149.54808749120446,298946.6268949177,-679.561084426532
long,298674.3950817752,okx,bitcoin,BTC/USDT,coin,2023-04-14 09:00:00,9.71892056112094,30700.5,0.001,298.67439508177523,298375.72068669344,2023-04-14 17:00:00,30805.6,True,299.3971792376672,299097.78205842956,722.061371736112
short,298375.72068669344,okx,bitcoin,BTCUSDCM,coin,2023-04-14 09:00:00,9.703472793204597,30734.0,0.0005,149.18786034334673,298226.53282635007,2023-04-14 17:00:00,30824.5,True,149.55234855706755,298955.14476557804,-728.6119392279652
long,149337.1975408876,okx,ethereum,ETH/USDT,coin,2023-04-14 09:00:00,70.73196488874774,2109.2,0.001,149.33719754088762,149187.86034334672,2023-04-15 17:00:00,2100.29,True,148.557638536188,148409.08089765182,-778.779445694905
short,149187.86034334672,okx,ethereum,ETHUSDCM,coin,2023-04-14 09:00:00,70.60621545204556,2111.9,0.0005,74.59393017167336,149113.26641317504,2023-04-15 17:00:00,2102.46,True,74.22337186965386,148372.52036743806,740.7460457369743
long,298683.781695505,okx,bitcoin,BTC/USDT,coin,2023-04-15 01:00:00,9.838601223747347,30328.0,0.001,298.68378169550505,298385.0979138095,2023-04-15 09:00:00,30380.4,True,298.9006406179339,298601.73997731594,216.64206350641325
short,298385.0979138095,okx,bitcoin,BTCUSDCM,coin,2023-04-15 01:00:00,9.829209386550984,30341.8,0.0005,149.19254895690477,298235.90536485263,2023-04-15 09:00:00,30398.5,True,149.39661076853503,298643.82492630155,-407.91956144891446
